V4_0,Time_codelist,Time,Geography_codelist,Geography,cpi1dim1aggid,Aggregate
79.7,Month,Jun-98,K02000001,,cpi1dim1G90400,09.4 Recreational and cultural services
85.1,Month,Jun-98,K02000001,,cpi1dim1G90500,"09.5 Books, newspapers and stationery"
72.4,Month,Jun-98,K02000001,,cpi1dim1G90600,09.6 Package holidays
66.4,Month,Jun-98,K02000001,,cpi1dim1G100000,10.0 Education
80.6,Month,Jun-98,K02000001,,cpi1dim1G110100,11.1 Catering services
71.9,Month,Jun-98,K02000001,,cpi1dim1G110200,11.2 Accommodation services
97.6,Month,Jun-98,K02000001,,cpi1dim1G120100,12.1 Personal care
102.4,Month,Jun-98,K02000001,,cpi1dim1G120300,12.3 Personal effects (nec)
67.1,Month,Jun-98,K02000001,,cpi1dim1G120500,12.5 Insurance
138,Month,Jun-98,K02000001,,cpi1dim1G120600,12.6 Financial services (nec)
62.8,Month,Jun-98,K02000001,,cpi1dim1G120700,12.7 Other services (nec)
94.6,Month,Jun-98,K02000001,,cpi1dim1S10101,01.1.1 Bread and cereals
93.1,Month,Jun-98,K02000001,,cpi1dim1S10102,01.1.2 Meat
85.7,Month,Jun-98,K02000001,,cpi1dim1S10103,01.1.3 Fish
90.8,Month,Jun-98,K02000001,,cpi1dim1S10104,"01.1.4 Milk, cheese and eggs"
104.3,Month,Jun-98,K02000001,,cpi1dim1S10105,01.1.5 Oils and fats
96.5,Month,Jun-98,K02000001,,cpi1dim1S10106,01.1.6 Fruit
89.1,Month,Jun-98,K02000001,,cpi1dim1S10107,01.1.7 Vegetables including potatoes and tubers
86.7,Month,Jun-98,K02000001,,cpi1dim1S10108,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
99.3,Month,Jun-98,K02000001,,cpi1dim1S10109,01.1.9 Food products (nec)
115.5,Month,Jun-98,K02000001,,cpi1dim1S10201,"01.2.1 Coffee, tea and cocoa"
100.3,Month,Jun-98,K02000001,,cpi1dim1S10202,"01.2.2 Mineral waters, soft drinks and juices"
98.6,Month,Jun-98,K02000001,,cpi1dim1S20101,02.1.1 Spirits
97.6,Month,Jun-98,K02000001,,cpi1dim1S20102,02.1.2 Wine
107.1,Month,Jun-98,K02000001,,cpi1dim1S20103,02.1.3 Beer
68.1,Month,Jun-98,K02000001,,cpi1dim1S20200,02.2.0 Tobacco
164.7,Month,Jun-98,K02000001,,cpi1dim1S30102,03.1.2 Garments
124.2,Month,Jun-98,K02000001,,cpi1dim1S30103,03.1.3 Other clothing and clothing accessories
79.2,Month,Jun-98,K02000001,,cpi1dim1S30104,"03.1.4 Cleaning, repair and hire of clothing"
129.6,Month,Jun-98,K02000001,,cpi1dim1S30200,03.2.0 Footwear including repairs
82.7,Month,Jun-98,K02000001,,cpi1dim1S40100,04.1.0 Actual rentals for housing
101.5,Month,Jun-98,K02000001,,cpi1dim1S40301,04.3.1 Materials for maintenance and repair
67.7,Month,Jun-98,K02000001,,cpi1dim1S40302,04.3.2 Services for maintenance and repair
80.7,Month,Jun-98,K02000001,,cpi1dim1S40401,04.4.1 Water supply
86.4,Month,Jun-98,K02000001,,cpi1dim1S40403,04.4.3 Sewerage collection
87.4,Month,Jun-98,K02000001,,cpi1dim1S40501,04.5.1 Electricity
74.7,Month,Jun-98,K02000001,,cpi1dim1S40502,04.5.2 Gas
37.9,Month,Jun-98,K02000001,,cpi1dim1S40503,04.5.3 Liquid fuels
72.5,Month,Jun-98,K02000001,,cpi1dim1S40504,04.5.4 Solid fuels
99.4,Month,Jun-98,K02000001,,cpi1dim1S50101,05.1.1 Furniture and furnishings
95.2,Month,Jun-98,K02000001,,cpi1dim1S50102,05.1.2 Carpets and other floor coverings
119.9,Month,Jun-98,K02000001,,cpi1dim1S50200,05.2.0 Household Textiles
126.9,Month,Jun-98,K02000001,,cpi1dim1S50301,05.3.1/2 Major appliances and small electric goods
74.6,Month,Jun-98,K02000001,,cpi1dim1S50303,05.3.3 Repair of household appliances
113.9,Month,Jun-98,K02000001,,cpi1dim1S50400,"05.4.0 Glassware, Tableware and Household Utensils"
118.4,Month,Jun-98,K02000001,,cpi1dim1S50500,05.5.0 Tools and equipment for House and Garden
110,Month,Jun-98,K02000001,,cpi1dim1S50601,05.6.1 Non-durable household goods
67.6,Month,Jun-98,K02000001,,cpi1dim1S50602,05.6.2 Domestic services and household services
99.1,Month,Jun-98,K02000001,,cpi1dim1S60101,06.1.1 Pharmaceutical products
90.4,Month,Jun-98,K02000001,,cpi1dim1S60102,06.1.2/3 Other medical and therapeutic equipment
106.9,Month,Jun-98,K02000001,,cpi1dim1S70102,07.1.2/3 Motorcycles and bicycles
104.5,Month,Jun-98,K02000001,,cpi1dim1S70181,07.1.1 New Cars
131.8,Month,Jun-98,K02000001,,cpi1dim1S70191,07.1.1b Second Hand Cars
94.5,Month,Jun-98,K02000001,,cpi1dim1S70201,07.2.1 Spare parts and accessories
75.6,Month,Jun-98,K02000001,,cpi1dim1S70202,07.2.2 Fuels and lubricants
66.5,Month,Jun-98,K02000001,,cpi1dim1S70203,07.2.3 Maintenance and repairs
73.1,Month,Jun-98,K02000001,,cpi1dim1S70204,07.2.4 Other services
81.5,Month,Jun-98,K02000001,,cpi1dim1S70301,07.3.1 Passenger transport by railway
73.1,Month,Jun-98,K02000001,,cpi1dim1S70302,07.3.2 Passenger transport by road
93.6,Month,Jun-98,K02000001,,cpi1dim1S70303,07.3.3 Passenger transport by air
82.7,Month,Jun-98,K02000001,,cpi1dim1S70304,07.3.4 Passenger transport by sea and inland waterway
85.7,Month,Jun-98,K02000001,,cpi1dim1S80100,08.1.0 Postal Services
120.7,Month,Jun-98,K02000001,,cpi1dim1S80200,08.2.0 Telephone and Telefax Equipment & Services
227.7,Month,Jun-98,K02000001,,cpi1dim1S90101,09.1.1 Reception and reproduction of sound and pictures
176.5,Month,Jun-98,K02000001,,cpi1dim1S90102,"09.1.2 Photographic, cinematographic and optical equipment"
616.3,Month,Jun-98,K02000001,,cpi1dim1S90103,09.1.3 Data processing equipment
131.9,Month,Jun-98,K02000001,,cpi1dim1S90104,09.1.4 Recording media
73.5,Month,Jun-98,K02000001,,cpi1dim1S90105,"09.1.5 Repair of audio-visual equipment , related products"
139.9,Month,Jun-98,K02000001,,cpi1dim1S90301,"09.3.1 Games, toys and hobbies"
125.4,Month,Jun-98,K02000001,,cpi1dim1S90302,09.3.2 Equipment for sport and open-air recreation
102.1,Month,Jun-98,K02000001,,cpi1dim1S90303,"09.3.3 Gardens, plants and flowers"
88.2,Month,Jun-98,K02000001,,cpi1dim1S90304,"09.3.4/5 Pets, related products and services"
76.7,Month,Jun-98,K02000001,,cpi1dim1S90401,09.4.1 Recreational and sporting services
82,Month,Jun-98,K02000001,,cpi1dim1S90402,09.4.2 Cultural services
86.8,Month,Jun-98,K02000001,,cpi1dim1S90501,09.5.1 Books
78.6,Month,Jun-98,K02000001,,cpi1dim1S90502,09.5.2 Newspapers and periodicals
93.4,Month,Jun-98,K02000001,,cpi1dim1S90503,"09.5.3/4 Misc. printed matter, stationery, drawing materials"
72.4,Month,Jun-98,K02000001,,cpi1dim1S90600,09.6.0 Package Holidays
66.4,Month,Jun-98,K02000001,,cpi1dim1S100000,10.0.0 Education
81.2,Month,Jun-98,K02000001,,cpi1dim1S110101,"11.1.1 Restaurants, cafes"
73.7,Month,Jun-98,K02000001,,cpi1dim1S110102,11.1.2 Canteens
71.9,Month,Jun-98,K02000001,,cpi1dim1S110200,11.2.0 Accommodation Services
70.8,Month,Jun-98,K02000001,,cpi1dim1S120101,12.1.1 Hairdressing and personal grooming establishments
110.7,Month,Jun-98,K02000001,,cpi1dim1S120102,12.1.2/3 Appliances and products for personal care
97.5,Month,Jun-98,K02000001,,cpi1dim1S120301,"12.3.1 Jewellery, clocks and watches"
114.6,Month,Jun-98,K02000001,,cpi1dim1S120302,12.3.2 Other personal effects
76.4,Month,Jun-98,K02000001,,cpi1dim1S120502,12.5.2 House contents insurance
66.6,Month,Jun-98,K02000001,,cpi1dim1S120504,12.5.4 Transport insurance
138,Month,Jun-98,K02000001,,cpi1dim1S120602,12.6.2 Other financial services (nec)
62.8,Month,Jun-98,K02000001,,cpi1dim1S120700,12.7.0 Other Services Not Elsewhere covered
92.8,Month,Jun-98,K02000001,,cpi1dim1T10000,01 Food and non-alcoholic beverages
80.4,Month,Jun-98,K02000001,,cpi1dim1T20000,02 Alcoholic beverages and tobacco
155,Month,Jun-98,K02000001,,cpi1dim1T30000,03 Clothing and footwear
82.1,Month,Jun-98,K02000001,,cpi1dim1T40000,"04 Housing, water, electricity, gas and other fuels"
103.2,Month,Jun-98,K02000001,,cpi1dim1T50000,"05 Furniture, household equipment and maintenance"
82.5,Month,Jun-98,K02000001,,cpi1dim1T60000,06 Health
86,Month,Jun-98,K02000001,,cpi1dim1T70000,07 Transport
117.5,Month,Jun-98,K02000001,,cpi1dim1T80000,08 Communication
99.5,Month,Jun-98,K02000001,,cpi1dim1T90000,09 Recreation and culture
66.4,Month,Jun-98,K02000001,,cpi1dim1T100000,10 Education
79.3,Month,Jun-98,K02000001,,cpi1dim1T110000,11 Restaurants and hotels
82.2,Month,Jun-98,K02000001,,cpi1dim1T120000,12 Miscellaneous goods and services
90.8,Month,Jul-98,K02000001,,cpi1dim1A0,CPI (overall index)
91.3,Month,Jul-98,K02000001,,cpi1dim1G10100,01.1 Food
103.8,Month,Jul-98,K02000001,,cpi1dim1G10200,01.2 Non-alcoholic beverages
100.9,Month,Jul-98,K02000001,,cpi1dim1G20100,02.1 Alcoholic beverages
68.1,Month,Jul-98,K02000001,,cpi1dim1G20200,02.2 Tobacco
148.4,Month,Jul-98,K02000001,,cpi1dim1G30100,03.1 Clothing
124.9,Month,Jul-98,K02000001,,cpi1dim1G30200,03.2 Footwear including repairs
82.8,Month,Jul-98,K02000001,,cpi1dim1G40100,04.1 Actual rentals for housing
83.7,Month,Jul-98,K02000001,,cpi1dim1G40300,04.3 Regular maintenance and repair of the dwelling
83.4,Month,Jul-98,K02000001,,cpi1dim1G40400,04.4 Water supply and misc. services for the dwelling
78.6,Month,Jul-98,K02000001,,cpi1dim1G40500,"04.5 Electricity , gas and other fuels"
97.1,Month,Jul-98,K02000001,,cpi1dim1G50100,"05.1 Furniture, furnishings and carpets"
116.5,Month,Jul-98,K02000001,,cpi1dim1G50200,05.2 Household textiles
117.7,Month,Jul-98,K02000001,,cpi1dim1G50300,"05.3 Household appliances, fitting and repairs"
112.8,Month,Jul-98,K02000001,,cpi1dim1G50400,"05.4 Glassware, tableware and household utensils"
118,Month,Jul-98,K02000001,,cpi1dim1G50500,05.5 Tools and equipment for house and garden
86.4,Month,Jul-98,K02000001,,cpi1dim1G50600,05.6 Goods and services for routine maintenance
94.4,Month,Jul-98,K02000001,,cpi1dim1G60100,"06.1 Medical products, appliances and equipment"
115.2,Month,Jul-98,K02000001,,cpi1dim1G70100,07.1 Purchase of vehicles
73.4,Month,Jul-98,K02000001,,cpi1dim1G70200,07.2 Operation of personal transport equipment
75.2,Month,Jul-98,K02000001,,cpi1dim1G70300,07.3 Transport services
85.8,Month,Jul-98,K02000001,,cpi1dim1G80100,08.1 Postal services
120.2,Month,Jul-98,K02000001,,cpi1dim1G80200,08.2/3 Telephone and telefax equip
200.2,Month,Jul-98,K02000001,,cpi1dim1G90100,09.1 Audio-visual equipment and related products
115.9,Month,Jul-98,K02000001,,cpi1dim1G90300,"09.3 Other recreational items, gardens and pets"
79.6,Month,Jul-98,K02000001,,cpi1dim1G90400,09.4 Recreational and cultural services
85,Month,Jul-98,K02000001,,cpi1dim1G90500,"09.5 Books, newspapers and stationery"
72.8,Month,Jul-98,K02000001,,cpi1dim1G90600,09.6 Package holidays
66.4,Month,Jul-98,K02000001,,cpi1dim1G100000,10.0 Education
80.9,Month,Jul-98,K02000001,,cpi1dim1G110100,11.1 Catering services
72.7,Month,Jul-98,K02000001,,cpi1dim1G110200,11.2 Accommodation services
97.9,Month,Jul-98,K02000001,,cpi1dim1G120100,12.1 Personal care
101.4,Month,Jul-98,K02000001,,cpi1dim1G120300,12.3 Personal effects (nec)
67.1,Month,Jul-98,K02000001,,cpi1dim1G120500,12.5 Insurance
134.1,Month,Jul-98,K02000001,,cpi1dim1G120600,12.6 Financial services (nec)
63.4,Month,Jul-98,K02000001,,cpi1dim1G120700,12.7 Other services (nec)
94.5,Month,Jul-98,K02000001,,cpi1dim1S10101,01.1.1 Bread and cereals
93.7,Month,Jul-98,K02000001,,cpi1dim1S10102,01.1.2 Meat
87.7,Month,Jul-98,K02000001,,cpi1dim1S10103,01.1.3 Fish
91.1,Month,Jul-98,K02000001,,cpi1dim1S10104,"01.1.4 Milk, cheese and eggs"
105.4,Month,Jul-98,K02000001,,cpi1dim1S10105,01.1.5 Oils and fats
93.2,Month,Jul-98,K02000001,,cpi1dim1S10106,01.1.6 Fruit
86.6,Month,Jul-98,K02000001,,cpi1dim1S10107,01.1.7 Vegetables including potatoes and tubers
87.4,Month,Jul-98,K02000001,,cpi1dim1S10108,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
99.5,Month,Jul-98,K02000001,,cpi1dim1S10109,01.1.9 Food products (nec)
113.9,Month,Jul-98,K02000001,,cpi1dim1S10201,"01.2.1 Coffee, tea and cocoa"
100.2,Month,Jul-98,K02000001,,cpi1dim1S10202,"01.2.2 Mineral waters, soft drinks and juices"
99.7,Month,Jul-98,K02000001,,cpi1dim1S20101,02.1.1 Spirits
97.2,Month,Jul-98,K02000001,,cpi1dim1S20102,02.1.2 Wine
108.8,Month,Jul-98,K02000001,,cpi1dim1S20103,02.1.3 Beer
68.1,Month,Jul-98,K02000001,,cpi1dim1S20200,02.2.0 Tobacco
152.6,Month,Jul-98,K02000001,,cpi1dim1S30102,03.1.2 Garments
119.2,Month,Jul-98,K02000001,,cpi1dim1S30103,03.1.3 Other clothing and clothing accessories
79.4,Month,Jul-98,K02000001,,cpi1dim1S30104,"03.1.4 Cleaning, repair and hire of clothing"
124.9,Month,Jul-98,K02000001,,cpi1dim1S30200,03.2.0 Footwear including repairs
82.8,Month,Jul-98,K02000001,,cpi1dim1S40100,04.1.0 Actual rentals for housing
101.5,Month,Jul-98,K02000001,,cpi1dim1S40301,04.3.1 Materials for maintenance and repair
67.9,Month,Jul-98,K02000001,,cpi1dim1S40302,04.3.2 Services for maintenance and repair
80.7,Month,Jul-98,K02000001,,cpi1dim1S40401,04.4.1 Water supply
86.4,Month,Jul-98,K02000001,,cpi1dim1S40403,04.4.3 Sewerage collection
86.9,Month,Jul-98,K02000001,,cpi1dim1S40501,04.5.1 Electricity
74.8,Month,Jul-98,K02000001,,cpi1dim1S40502,04.5.2 Gas
36.6,Month,Jul-98,K02000001,,cpi1dim1S40503,04.5.3 Liquid fuels
72.7,Month,Jul-98,K02000001,,cpi1dim1S40504,04.5.4 Solid fuels
98.1,Month,Jul-98,K02000001,,cpi1dim1S50101,05.1.1 Furniture and furnishings
93.3,Month,Jul-98,K02000001,,cpi1dim1S50102,05.1.2 Carpets and other floor coverings
116.5,Month,Jul-98,K02000001,,cpi1dim1S50200,05.2.0 Household Textiles
124.6,Month,Jul-98,K02000001,,cpi1dim1S50301,05.3.1/2 Major appliances and small electric goods
75.1,Month,Jul-98,K02000001,,cpi1dim1S50303,05.3.3 Repair of household appliances
112.8,Month,Jul-98,K02000001,,cpi1dim1S50400,"05.4.0 Glassware, Tableware and Household Utensils"
118,Month,Jul-98,K02000001,,cpi1dim1S50500,05.5.0 Tools and equipment for House and Garden
109.6,Month,Jul-98,K02000001,,cpi1dim1S50601,05.6.1 Non-durable household goods
67.7,Month,Jul-98,K02000001,,cpi1dim1S50602,05.6.2 Domestic services and household services
99,Month,Jul-98,K02000001,,cpi1dim1S60101,06.1.1 Pharmaceutical products
90.3,Month,Jul-98,K02000001,,cpi1dim1S60102,06.1.2/3 Other medical and therapeutic equipment
106.2,Month,Jul-98,K02000001,,cpi1dim1S70102,07.1.2/3 Motorcycles and bicycles
104.1,Month,Jul-98,K02000001,,cpi1dim1S70181,07.1.1 New Cars
130.5,Month,Jul-98,K02000001,,cpi1dim1S70191,07.1.1b Second Hand Cars
94.2,Month,Jul-98,K02000001,,cpi1dim1S70201,07.2.1 Spare parts and accessories
76,Month,Jul-98,K02000001,,cpi1dim1S70202,07.2.2 Fuels and lubricants
66.7,Month,Jul-98,K02000001,,cpi1dim1S70203,07.2.3 Maintenance and repairs
73.3,Month,Jul-98,K02000001,,cpi1dim1S70204,07.2.4 Other services
81.9,Month,Jul-98,K02000001,,cpi1dim1S70301,07.3.1 Passenger transport by railway
73.3,Month,Jul-98,K02000001,,cpi1dim1S70302,07.3.2 Passenger transport by road
93.8,Month,Jul-98,K02000001,,cpi1dim1S70303,07.3.3 Passenger transport by air
84.6,Month,Jul-98,K02000001,,cpi1dim1S70304,07.3.4 Passenger transport by sea and inland waterway
85.8,Month,Jul-98,K02000001,,cpi1dim1S80100,08.1.0 Postal Services
120.2,Month,Jul-98,K02000001,,cpi1dim1S80200,08.2.0 Telephone and Telefax Equipment & Services
224,Month,Jul-98,K02000001,,cpi1dim1S90101,09.1.1 Reception and reproduction of sound and pictures
176.2,Month,Jul-98,K02000001,,cpi1dim1S90102,"09.1.2 Photographic, cinematographic and optical equipment"
594.2,Month,Jul-98,K02000001,,cpi1dim1S90103,09.1.3 Data processing equipment
132.3,Month,Jul-98,K02000001,,cpi1dim1S90104,09.1.4 Recording media
74,Month,Jul-98,K02000001,,cpi1dim1S90105,"09.1.5 Repair of audio-visual equipment , related products"
139.6,Month,Jul-98,K02000001,,cpi1dim1S90301,"09.3.1 Games, toys and hobbies"
124.1,Month,Jul-98,K02000001,,cpi1dim1S90302,09.3.2 Equipment for sport and open-air recreation
102.7,Month,Jul-98,K02000001,,cpi1dim1S90303,"09.3.3 Gardens, plants and flowers"
88.2,Month,Jul-98,K02000001,,cpi1dim1S90304,"09.3.4/5 Pets, related products and services"
77.2,Month,Jul-98,K02000001,,cpi1dim1S90401,09.4.1 Recreational and sporting services
81.6,Month,Jul-98,K02000001,,cpi1dim1S90402,09.4.2 Cultural services
86.3,Month,Jul-98,K02000001,,cpi1dim1S90501,09.5.1 Books
78.6,Month,Jul-98,K02000001,,cpi1dim1S90502,09.5.2 Newspapers and periodicals
93.1,Month,Jul-98,K02000001,,cpi1dim1S90503,"09.5.3/4 Misc. printed matter, stationery, drawing materials"
72.8,Month,Jul-98,K02000001,,cpi1dim1S90600,09.6.0 Package Holidays
66.4,Month,Jul-98,K02000001,,cpi1dim1S100000,10.0.0 Education
81.5,Month,Jul-98,K02000001,,cpi1dim1S110101,"11.1.1 Restaurants, cafes"
74.1,Month,Jul-98,K02000001,,cpi1dim1S110102,11.1.2 Canteens
72.7,Month,Jul-98,K02000001,,cpi1dim1S110200,11.2.0 Accommodation Services
71.2,Month,Jul-98,K02000001,,cpi1dim1S120101,12.1.1 Hairdressing and personal grooming establishments
111.1,Month,Jul-98,K02000001,,cpi1dim1S120102,12.1.2/3 Appliances and products for personal care
96.8,Month,Jul-98,K02000001,,cpi1dim1S120301,"12.3.1 Jewellery, clocks and watches"
113.3,Month,Jul-98,K02000001,,cpi1dim1S120302,12.3.2 Other personal effects
76.4,Month,Jul-98,K02000001,,cpi1dim1S120502,12.5.2 House contents insurance
66.7,Month,Jul-98,K02000001,,cpi1dim1S120504,12.5.4 Transport insurance
134.1,Month,Jul-98,K02000001,,cpi1dim1S120602,12.6.2 Other financial services (nec)
63.4,Month,Jul-98,K02000001,,cpi1dim1S120700,12.7.0 Other Services Not Elsewhere covered
92.5,Month,Jul-98,K02000001,,cpi1dim1T10000,01 Food and non-alcoholic beverages
80.7,Month,Jul-98,K02000001,,cpi1dim1T20000,02 Alcoholic beverages and tobacco
145,Month,Jul-98,K02000001,,cpi1dim1T30000,03 Clothing and footwear
82.1,Month,Jul-98,K02000001,,cpi1dim1T40000,"04 Housing, water, electricity, gas and other fuels"
102,Month,Jul-98,K02000001,,cpi1dim1T50000,"05 Furniture, household equipment and maintenance"
82.3,Month,Jul-98,K02000001,,cpi1dim1T60000,06 Health
85.9,Month,Jul-98,K02000001,,cpi1dim1T70000,07 Transport
117.1,Month,Jul-98,K02000001,,cpi1dim1T80000,08 Communication
99.4,Month,Jul-98,K02000001,,cpi1dim1T90000,09 Recreation and culture
66.4,Month,Jul-98,K02000001,,cpi1dim1T100000,10 Education
79.7,Month,Jul-98,K02000001,,cpi1dim1T110000,11 Restaurants and hotels
82.3,Month,Jul-98,K02000001,,cpi1dim1T120000,12 Miscellaneous goods and services
91.2,Month,Aug-98,K02000001,,cpi1dim1A0,CPI (overall index)
92.4,Month,Aug-98,K02000001,,cpi1dim1G10100,01.1 Food
103.9,Month,Aug-98,K02000001,,cpi1dim1G10200,01.2 Non-alcoholic beverages
100.9,Month,Aug-98,K02000001,,cpi1dim1G20100,02.1 Alcoholic beverages
68.2,Month,Aug-98,K02000001,,cpi1dim1G20200,02.2 Tobacco
151.6,Month,Aug-98,K02000001,,cpi1dim1G30100,03.1 Clothing
126,Month,Aug-98,K02000001,,cpi1dim1G30200,03.2 Footwear including repairs
83,Month,Aug-98,K02000001,,cpi1dim1G40100,04.1 Actual rentals for housing
84,Month,Aug-98,K02000001,,cpi1dim1G40300,04.3 Regular maintenance and repair of the dwelling
83.4,Month,Aug-98,K02000001,,cpi1dim1G40400,04.4 Water supply and misc. services for the dwelling
78.6,Month,Aug-98,K02000001,,cpi1dim1G40500,"04.5 Electricity , gas and other fuels"
97.4,Month,Aug-98,K02000001,,cpi1dim1G50100,"05.1 Furniture, furnishings and carpets"
118.7,Month,Aug-98,K02000001,,cpi1dim1G50200,05.2 Household textiles
118,Month,Aug-98,K02000001,,cpi1dim1G50300,"05.3 Household appliances, fitting and repairs"
114,Month,Aug-98,K02000001,,cpi1dim1G50400,"05.4 Glassware, tableware and household utensils"
118.2,Month,Aug-98,K02000001,,cpi1dim1G50500,05.5 Tools and equipment for house and garden
86.8,Month,Aug-98,K02000001,,cpi1dim1G50600,05.6 Goods and services for routine maintenance
94.3,Month,Aug-98,K02000001,,cpi1dim1G60100,"06.1 Medical products, appliances and equipment"
114.9,Month,Aug-98,K02000001,,cpi1dim1G70100,07.1 Purchase of vehicles
73.6,Month,Aug-98,K02000001,,cpi1dim1G70200,07.2 Operation of personal transport equipment
75.3,Month,Aug-98,K02000001,,cpi1dim1G70300,07.3 Transport services
85.9,Month,Aug-98,K02000001,,cpi1dim1G80100,08.1 Postal services
118.8,Month,Aug-98,K02000001,,cpi1dim1G80200,08.2/3 Telephone and telefax equip
197.4,Month,Aug-98,K02000001,,cpi1dim1G90100,09.1 Audio-visual equipment and related products
116.1,Month,Aug-98,K02000001,,cpi1dim1G90300,"09.3 Other recreational items, gardens and pets"
79.7,Month,Aug-98,K02000001,,cpi1dim1G90400,09.4 Recreational and cultural services
85.2,Month,Aug-98,K02000001,,cpi1dim1G90500,"09.5 Books, newspapers and stationery"
73,Month,Aug-98,K02000001,,cpi1dim1G90600,09.6 Package holidays
66.5,Month,Aug-98,K02000001,,cpi1dim1G100000,10.0 Education
81.2,Month,Aug-98,K02000001,,cpi1dim1G110100,11.1 Catering services
73.8,Month,Aug-98,K02000001,,cpi1dim1G110200,11.2 Accommodation services
98.4,Month,Aug-98,K02000001,,cpi1dim1G120100,12.1 Personal care
102.5,Month,Aug-98,K02000001,,cpi1dim1G120300,12.3 Personal effects (nec)
67.1,Month,Aug-98,K02000001,,cpi1dim1G120500,12.5 Insurance
134.1,Month,Aug-98,K02000001,,cpi1dim1G120600,12.6 Financial services (nec)
63.3,Month,Aug-98,K02000001,,cpi1dim1G120700,12.7 Other services (nec)
94.7,Month,Aug-98,K02000001,,cpi1dim1S10101,01.1.1 Bread and cereals
93.2,Month,Aug-98,K02000001,,cpi1dim1S10102,01.1.2 Meat
88.2,Month,Aug-98,K02000001,,cpi1dim1S10103,01.1.3 Fish
91.1,Month,Aug-98,K02000001,,cpi1dim1S10104,"01.1.4 Milk, cheese and eggs"
104.6,Month,Aug-98,K02000001,,cpi1dim1S10105,01.1.5 Oils and fats
93.8,Month,Aug-98,K02000001,,cpi1dim1S10106,01.1.6 Fruit
94.7,Month,Aug-98,K02000001,,cpi1dim1S10107,01.1.7 Vegetables including potatoes and tubers
87.5,Month,Aug-98,K02000001,,cpi1dim1S10108,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
99.7,Month,Aug-98,K02000001,,cpi1dim1S10109,01.1.9 Food products (nec)
114,Month,Aug-98,K02000001,,cpi1dim1S10201,"01.2.1 Coffee, tea and cocoa"
100.3,Month,Aug-98,K02000001,,cpi1dim1S10202,"01.2.2 Mineral waters, soft drinks and juices"
99.6,Month,Aug-98,K02000001,,cpi1dim1S20101,02.1.1 Spirits
97.6,Month,Aug-98,K02000001,,cpi1dim1S20102,02.1.2 Wine
108.3,Month,Aug-98,K02000001,,cpi1dim1S20103,02.1.3 Beer
68.2,Month,Aug-98,K02000001,,cpi1dim1S20200,02.2.0 Tobacco
156,Month,Aug-98,K02000001,,cpi1dim1S30102,03.1.2 Garments
120.4,Month,Aug-98,K02000001,,cpi1dim1S30103,03.1.3 Other clothing and clothing accessories
79.5,Month,Aug-98,K02000001,,cpi1dim1S30104,"03.1.4 Cleaning, repair and hire of clothing"
126,Month,Aug-98,K02000001,,cpi1dim1S30200,03.2.0 Footwear including repairs
83,Month,Aug-98,K02000001,,cpi1dim1S40100,04.1.0 Actual rentals for housing
101.8,Month,Aug-98,K02000001,,cpi1dim1S40301,04.3.1 Materials for maintenance and repair
68.1,Month,Aug-98,K02000001,,cpi1dim1S40302,04.3.2 Services for maintenance and repair
80.7,Month,Aug-98,K02000001,,cpi1dim1S40401,04.4.1 Water supply
86.4,Month,Aug-98,K02000001,,cpi1dim1S40403,04.4.3 Sewerage collection
86.9,Month,Aug-98,K02000001,,cpi1dim1S40501,04.5.1 Electricity
74.8,Month,Aug-98,K02000001,,cpi1dim1S40502,04.5.2 Gas
35.9,Month,Aug-98,K02000001,,cpi1dim1S40503,04.5.3 Liquid fuels
72.8,Month,Aug-98,K02000001,,cpi1dim1S40504,04.5.4 Solid fuels
98,Month,Aug-98,K02000001,,cpi1dim1S50101,05.1.1 Furniture and furnishings
94.9,Month,Aug-98,K02000001,,cpi1dim1S50102,05.1.2 Carpets and other floor coverings
118.7,Month,Aug-98,K02000001,,cpi1dim1S50200,05.2.0 Household Textiles
125,Month,Aug-98,K02000001,,cpi1dim1S50301,05.3.1/2 Major appliances and small electric goods
75.2,Month,Aug-98,K02000001,,cpi1dim1S50303,05.3.3 Repair of household appliances
114,Month,Aug-98,K02000001,,cpi1dim1S50400,"05.4.0 Glassware, Tableware and Household Utensils"
118.2,Month,Aug-98,K02000001,,cpi1dim1S50500,05.5.0 Tools and equipment for House and Garden
110.1,Month,Aug-98,K02000001,,cpi1dim1S50601,05.6.1 Non-durable household goods
68,Month,Aug-98,K02000001,,cpi1dim1S50602,05.6.2 Domestic services and household services
98.1,Month,Aug-98,K02000001,,cpi1dim1S60101,06.1.1 Pharmaceutical products
90.7,Month,Aug-98,K02000001,,cpi1dim1S60102,06.1.2/3 Other medical and therapeutic equipment
106.1,Month,Aug-98,K02000001,,cpi1dim1S70102,07.1.2/3 Motorcycles and bicycles
104.2,Month,Aug-98,K02000001,,cpi1dim1S70181,07.1.1 New Cars
129.9,Month,Aug-98,K02000001,,cpi1dim1S70191,07.1.1b Second Hand Cars
94.5,Month,Aug-98,K02000001,,cpi1dim1S70201,07.2.1 Spare parts and accessories
76,Month,Aug-98,K02000001,,cpi1dim1S70202,07.2.2 Fuels and lubricants
67,Month,Aug-98,K02000001,,cpi1dim1S70203,07.2.3 Maintenance and repairs
